ovm_0902,	5718.94,	3391.26,	0,
ovm_0903,	5718.99,	3071.97,	0,
ovm_0904,	5395.19,	3071.95,	0,
ovm_0921,	278.192,	3857.43,	0,
ovm_0922,	601.896,	3857.61,	0,
ovm_0923,	601.841,	3535.43,	0,
ovm_0924,	278.125,	3535.45,	0,
ovm_0931,	744.518,	3857.48,	0,
ovm_0932,	1066.77,	3857.57,	0,
ovm_0933,	1066.67,	3535.46,	0,
ovm_0934,	744.479,	3535.41,	0,
ovm_0941,	1210.65,	3857.54,	0,
ovm_0942,	1530.61,	3857.61,	0,
ovm_0943,	1530.55,	3535.43,	0,
ovm_0944,	1210.62,	3535.41,	0,
ovm_0951,	1674.45,	3857.51,	0,
ovm_0952,	1996.43,	3857.61,	0,
ovm_0953,	1996.37,	3535.43,	0,
ovm_0954,	1674.48,	3535.45,	0,
ovm_0961,	2139.95,	3857.61,	0,
ovm_0962,	2462.25,	3857.63,	0,
ovm_0963,	2462.19,	3535.43,	0,
ovm_0964,	2139.98,	3535.4,	0,
ovm_0971,	2606.06,	3857.62,	0,
ovm_0972,	2925.68,	3857.64,	0,
ovm_0973,	2925.6,	3535.4,	0,
ovm_0974,	2606.11,	3535.41,	0,
ovm_0981,	3071.4,	3857.63,	0,
ovm_0982,	3391.04,	3857.63,	0,
ovm_0983,	3390.99,	3535.42,	0,
ovm_0984,	3071.47,	3535.4,	0,
ovm_0991,	3534.82,	3857.61,	0,
ovm_0992,	3857.09,	3857.61,	0,
ovm_0993,	3857.05,	3535.4,	0,
ovm_0994,	3534.88,	3535.43,	0,
ovm_1001,	4000.64,	3857.61,	0,
ovm_1002,	4322.64,	3857.51,	0,
ovm_1003,	4322.61,	3535.46,	0,
ovm_1004,	4000.7,	3535.43,	0,
ovm_1011,	4466.46,	3857.6,	0,
ovm_1012,	4786.42,	3857.53,	0,
ovm_1013,	4786.4,	3535.4,	0,
ovm_1014,	4466.52,	3535.43,	0,
ovm_1021,	4930.31,	3857.57,	0,
ovm_1022,	5252.49,	3857.5,	0,
ovm_1023,	5252.55,	3535.41,	0,
ovm_1024,	4930.4,	3535.45,	0,
ovm_1031,	5395.17,	3857.61,	0,
ovm_1032,	5718.91,	3857.42,	0,
ovm_1033,	5718.96,	3535.45,	0,
ovm_1034,	5395.23,	3535.43,	0,
ovm_1051,	278.162,	4323.53,	0,
ovm_1052,	601.896,	4323.74,	0,
ovm_1053,	601.879,	4000.66,	0,
ovm_1054,	278.042,	4000.68,	0,
ovm_1061,	744.602,	4323.58,	0,
ovm_1062,	1066.76,	4323.7,	0,
ovm_1063,	1066.74,	4000.69,	0,
ovm_1064,	744.401,	4000.65,	0,
ovm_1071,	1210.71,	4323.63,	0,
ovm_1072,	1530.6,	4323.74,	0,
ovm_1073,	1530.59,	4000.66,	0,
ovm_1074,	1210.58,	4000.64,	0,
ovm_1081,	1674.44,	4323.6,	0,
ovm_1082,	1996.42,	4323.74,	0,
ovm_1083,	1996.41,	4000.66,	0,
ovm_1084,	1674.4,	4000.69,	0,
ovm_1091,	2139.98,	4323.73,	0,
ovm_1092,	2462.25,	4323.75,	0,
ovm_1093,	2462.23,	4000.66,	0,
ovm_1094,	2139.94,	4000.64,	0,
ovm_1101,	2606.07,	4323.75,	0,
ovm_1102,	2925.67,	4323.77,	0,
ovm_1103,	2925.66,	4000.64,	0,
ovm_1104,	2606.07,	4000.65,	0,
ovm_1111,	3071.4,	4323.77,	0,
ovm_1112,	3391.04,	4323.74,	0,
ovm_1113,	3391.03,	4000.65,	0,
ovm_1114,	3071.41,	4000.64,	0,
ovm_1121,	3534.82,	4323.75,	0,
ovm_1122,	3857.07,	4323.73,	0,
ovm_1123,	3857.1,	4000.64,	0,
ovm_1124,	3534.84,	4000.66,	0,
ovm_1131,	4000.65,	4323.74,	0,
ovm_1132,	4322.63,	4323.6,	0,
ovm_1133,	4322.67,	4000.68,	0,
ovm_1134,	4000.66,	4000.66,	0,
ovm_1141,	4466.47,	4323.74,	0,
ovm_1142,	4786.31,	4323.64,	0,
ovm_1143,	4786.46,	4000.64,	0,
ovm_1144,	4466.48,	4000.66,	0,
ovm_1151,	4930.31,	4323.7,	0,
ovm_1152,	5252.46,	4323.59,	0,
ovm_1153,	5252.62,	4000.65,	0,
ovm_1154,	4930.33,	4000.69,	0,
ovm_1161,	5395.18,	4323.74,	0,
ovm_1162,	5718.9,	4323.54,	0,
ovm_1163,	5719.03,	4000.68,	0,
ovm_1164,	5395.19,	4000.66,	0,
